Year,平均每日日照時數,平均每日日射量,行政區,ESH
2011,2.703092677931388,7.100241295442909,台東縣,7.100241295442909
2012,2.6926424422197504,6.882976146335435,台東縣,6.882976146335435
2013,3.2952476958525345,7.705567268305171,台東縣,7.705567268305171
2014,2.3053889121631057,6.397029057859704,台東縣,6.397029057859704
2015,2.3940062297320366,7.978051110180143,台東縣,7.978051110180143
2016,3.4949442141099536,7.665098628105302,台東縣,7.665098628105302
2017,3.7051410417539454,8.030149940262843,台東縣,8.030149940262843
2018,4.574769585253456,9.28325311486602,台東縣,9.28325311486602
2019,7.538534422566681,12.918563049853372,台東縣,12.918563049853372
1999,6.64189708141321,9.874896313364054,彰化縣,9.874896313364054
2000,5.529328883945124,8.6649276974416,彰化縣,8.6649276974416
2001,6.631747311827957,9.44231612903226,彰化縣,9.44231612903226
2002,6.9003774412991,10.445820386219005,彰化縣,10.445820386219005
2003,7.094924731182796,11.09357634408602,彰化縣,11.09357634408602
2004,7.916129032258065,12.470322580645162,彰化縣,12.470322580645162
2005,5.309551971326165,9.088100614439323,彰化縣,9.088100614439323
2006,6.367969278033795,10.383476497695852,彰化縣,10.383476497695852
2007,6.3132974910394255,8.963,彰化縣,8.963
2008,5.80965007415647,9.076324156470152,彰化縣,9.076324156470152
2009,6.486505376344087,9.329790322580644,彰化縣,9.329790322580644
2010,5.465610599078341,8.076226958525346,彰化縣,8.076226958525346
2011,5.854455538487796,9.342842549923196,彰化縣,9.342842549923196
2012,6.576075268817204,10.367150537634409,彰化縣,10.367150537634409
2013,5.336263440860215,10.41556989247312,彰化縣,10.41556989247312
2014,5.686322580645161,10.271275268817204,彰化縣,10.271275268817204
2015,5.604917434715822,13.917741551459294,彰化縣,13.917741551459294
2016,4.1237992831541215,12.678268817204303,彰化縣,12.678268817204303
2017,,13.549833333333332,彰化縣,13.549833333333332
2018,5.63,15.51817261904762,彰化縣,15.51817261904762
2019,8.36510752688172,16.803082437275986,彰化縣,16.803082437275986
2020,9.14115347018573,17.535774193548384,彰化縣,17.535774193548384
2021,9.190509472606246,17.76102022529442,彰化縣,17.76102022529442
2022,8.878977854582693,17.10026113671275,彰化縣,17.10026113671275
2023,9.000285202252943,16.929014848950334,彰化縣,16.929014848950334
2024,8.713501112347052,16.095599276974415,彰化縣,16.095599276974415
2018,5.066666666666666,7.47,台北市,7.47
2019,6.09883870967742,10.94189247311828,台北市,10.94189247311828
2018,,,高雄市,
2019,8.67925925925926,15.355973715651135,高雄市,15.355973715651135
2020,8.834905273937531,16.86214541730671,高雄市,16.86214541730671
2021,8.196014151714222,16.337666928130208,高雄市,16.337666928130208
2022,8.376170314900154,16.26215581797235,高雄市,16.26215581797235
2023,8.33956333595594,16.133777490539885,高雄市,16.133777490539885
2024,8.272688742477396,16.36059753001911,高雄市,16.36059753001911
2020,6.498191593352884,12.09427174975562,新北市,12.09427174975562
2021,7.337121151405864,13.4937914913511,新北市,13.4937914913511
2022,6.7700924859191,11.979314516129032,新北市,11.979314516129032
2023,7.422904227609697,13.45371435250117,新北市,13.45371435250117
2024,6.485128661475713,11.085586948461252,新北市,11.085586948461252
2020,8.874692082111437,16.651290322580646,嘉義市,16.651290322580646
2021,8.873020993343575,16.669432923707117,嘉義市,16.669432923707117
2022,8.551682667690732,15.71242447516641,嘉義市,15.71242447516641
2023,8.791565423823489,16.154161429967882,嘉義市,16.154161429967882
2024,8.604580088987763,16.151188357434187,嘉義市,16.151188357434187
2020,7.529230510752688,13.361213037634409,臺東縣,13.361213037634409
2021,7.766912698412698,14.480339221710189,臺東縣,14.480339221710189
2022,7.8038133640553,14.32050373430796,臺東縣,14.32050373430796
2023,7.517726722202529,13.378630656977432,臺東縣,13.378630656977432
2024,6.641515057883245,10.918560128537882,臺東縣,10.918560128537882
