站名,平均氣溫,絕對最高氣溫,絕對最低氣溫,總日照時數h,總日射量MJ/ m2,Year,Month,行政區,days_in_month,平均每日日照時數,平均每日日射量
農業試驗所,17.2,29.8,9.1,137.3,258.84,2001,1,台中市,31,4.429032258064517,8.349677419354839
臺中農改,16.9,27.4,9.6,188.9,246.94,2001,1,彰化縣,31,6.093548387096774,7.965806451612903
臺大溪頭,12.3,22.5,5.1,,241.51,2001,1,南投縣,31,,7.790645161290322
雲林分場,16.7,28,8.4,150.2,294.97,2001,1,雲林縣,31,4.84516129032258,9.515161290322581
義竹分場,17.3,28.7,9.7,,394.57,2001,1,嘉義縣,31,,12.728064516129033
畜試所,17.8,29.6,9.2,132.2,251.41,2001,1,臺南市,31,4.264516129032257,8.11
恆春畜試,21.8,28.8,16.5,179.6,423.57,2001,1,屏東縣,31,5.793548387096774,13.663548387096775
高雄農改,20.3,29.6,12.5,157.4,262.64,2001,1,屏東縣,31,5.077419354838709,8.47225806451613
蘭陽分場,17.2,25.9,10.4,83.0,224.05,2001,1,宜蘭縣,31,2.6774193548387095,7.22741935483871
花蓮農改,18.2,26.2,10.9,85.8,252.13,2001,1,花蓮縣,31,2.767741935483871,8.133225806451613
斑鳩分場,17.6,29,9.7,91.4,184.61,2001,1,台東縣,31,2.948387096774194,5.9551612903225815
茶改場,15.8,28.4,9.1,129.3,240.71,2001,2,桃園市,28,4.617857142857143,8.596785714285714
桃園農改,17.6,33.3,11,105.6,208.22,2001,2,桃園市,28,3.7714285714285714,7.436428571428571
五峰站,13.3,25.3,3,95.4,273.05,2001,2,新竹縣,28,3.4071428571428575,9.751785714285715
苗栗農改,17.4,33.9,7.9,,294.71,2001,2,苗栗縣,28,,10.525357142857143
台中農改,17.9,28.4,11.4,186.8,268.05,2001,2,台中市,28,6.671428571428572,9.573214285714286
臺大溪頭,13.9,23.4,6.9,,275.25,2001,2,南投縣,28,,9.830357142857142
雲林分場,18,29.8,9.8,158.2,303.74,2001,2,雲林縣,28,5.6499999999999995,10.847857142857142
義竹分場,18.3,30.6,10,,417.83,2001,2,嘉義縣,28,,14.9225
畜試所,18.9,31.1,10.7,138.7,277.22,2001,2,臺南市,28,4.953571428571428,9.900714285714287
高雄農改,21.1,31,13.6,136.2,277.48,2001,2,屏東縣,28,4.864285714285714,9.91
恆春畜試,22.3,29.7,15.8,161.4,429.53,2001,2,屏東縣,28,5.764285714285714,15.340357142857142
蘭陽分場,17.6,27.8,10.8,71.6,235.74,2001,2,宜蘭縣,28,2.557142857142857,8.419285714285715
花蓮農改,18.6,27.7,11.8,62.5,233.6,2001,2,花蓮縣,28,2.232142857142857,8.342857142857143
斑鳩分場,18.6,29.1,11.5,83.2,199.29,2001,2,台東縣,28,2.9714285714285715,7.1175
農業試驗所,18.6,29.7,11.7,135.7,281.27,2001,2,台中市,28,4.846428571428571,10.045357142857142
茶改場,17.4,30.8,9.4,128.5,290.47,2001,3,桃園市,31,4.145161290322581,9.370000000000001
桃園農改,18.8,31.1,10.7,131.4,290.11,2001,3,桃園市,31,4.238709677419355,9.358387096774194
五峰站,14,27.1,5.7,119.6,342.91,2001,3,新竹縣,31,3.858064516129032,11.061612903225807
苗栗農改,19.5,33.3,7.4,,384.56,2001,3,苗栗縣,31,,12.40516129032258
台中農改,20.2,31.6,10.4,210.4,331.36,2001,3,台中市,31,6.787096774193548,10.689032258064517
臺大溪頭,14.3,24.4,6.5,,309.59,2001,3,南投縣,31,,9.986774193548387
雲林分場,19.8,31.7,9.8,155.4,369.56,2001,3,雲林縣,31,5.012903225806451,11.921290322580646
義竹分場,20.7,31.2,9.4,,528.31,2001,3,嘉義縣,31,,17.042258064516126
畜試所,21.3,32.8,10.3,165.2,357.3,2001,3,臺南市,31,5.329032258064516,11.525806451612903
高雄農改,23,32.3,14.8,190.5,364.59,2001,3,屏東縣,31,6.145161290322581,11.760967741935483
恆春畜試,23.3,32.2,17.6,210.0,560.44,2001,3,屏東縣,31,6.774193548387097,18.078709677419358
蘭陽分場,19,28.8,10.8,95.3,356.93,2001,3,宜蘭縣,31,3.074193548387097,11.513870967741935
